Product Name,Product Url,Prices,Rating,Number of Review,Description,FSN,Product_Description,Manufacturer
"OPPO Reno10 5G (Silvery Grey, 256 GB)",https://www.flipkart.com/oppo-reno10-5g-silvery-grey-256-gb/p/itmdedc9618cea51?pid=MOBGQP3UFZA4KJYV&lid=LSTMOBGQP3UFZA4KJYVA5FVFS&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=en_RGMRWCBYcVqhWUdZE9jYAG2HYzNUlMd4vDU71bHTnD8W-dxDt6U34Z_emEniV5zm_68dVFd7QL7u02kaLcv2lw%3D%3D&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹32,999",Not Available,0, ,MOBGQP3UFZA4KJYV,"With the improved imaging hardware camera in this Oppo Reno 10 5G smartphone, you can capture impressive pictures in high clarity. When your friends take photos in this camera, they are going to fall in love with your phone and would always wish for your phone’s camera for all their photoshoots. With a 64 MP Main Camera, 32 MP Telephoto Camera, 112-degree ultra-wide-angle camera, and 32 MP ultra-clear selfie camera, this phone has an awesome camera setup to lighten your moods at all times.

With the high-resolution Telephoto Camera available on this mobile, you can take pictures like a pro and create an album with innumerable photos and videos. The camera is equipped with a Sony IMX709 flagship sensor camera that offers professional portrait focal length photography where you can click clear, natural, and vivid portrait images all the time and cherish these memories for years to come.

Beautiful and blurred bokeh backgrounds are just a click away by adjusting the aperture on this phone’s camera. Take high-quality photos as you would take with your DSLR camera and just be surprised with the amazing comments you would receive from your friends and family.

This phone is designed by industry experts and has included an exclusive Portrait mode to capture moments that are worth creating memories. Perfect your every shot with the Portrait Expert Engine and be amazed by the resulting photos that are sure to mesmerise you with its perfection.

This phone has a 50 MP OIS main camera that clicks ultra-clear pictures. The camera on this phone is 112 degrees ultra-wide angle with AutoFocus smart selfie feature that lets you capture beautiful pictures of yourself and groups. Record 4K ultra-clear video whenever you are in the mood to take short videos, create reels, or simply record an event or a session.

The 3D curved design of this Oppo Reno 10 5G smartphone brings richness to the overall aesthetics of this phone. You are sure to attract onlookers with its sheer beauty, smooth contours that just fits right on your palm.

This phone delivers rock-solid performance and feels as light as a feather. The sleek design of the phone and its slim structure simply create a style statement. It weighs only about 185g and is about 7.99 mm in thickness.

Experience the ultimate comfort and convenience of scrolling through apps on this 3D curved Oppo Reno 10 smartphone. This phone is indeed an unmatched combination of comfort and elegance that you would always want to hold in your hands.

Powered with a 5000 mAh battery, this phone is a powerhouse of energy and can run for an entire day. Along with this device, you get a 67 W flash charger that can charge from 0 to 31% in just 10 minutes. The Battery Health Engine in this phone increases your battery durability by up to 4 years. With just 5 minutes of charging your phone, you can have 3.5 hours of video playback time.

Experience unbelievably smooth and quick performance with the MediaTek Dimensity 7050 SoC Processor. Effortlessly stream applications and scroll through apps swiftly at a lightning-fast speed. You get 8 GB of RAM that can be expandable up to 8 GB and vast storage space of 256 GB.

To let you use a smooth-running phone that can keep pace with your lifestyle and changing needs even after 48 months of use, Oppo has designed an interesting system-level technology that improves your stability and fluency greatly. This Oppo smartphone comes with TUV SUD 48-Month Fluency Rating A"" with 16 times memory access capability. You will also be able to run 40+ active apps in the background.

With loud and dual stereo speakers, you can hear your favourite music in full sound. These speakers are so powerful that they provide an immersive sound experience where every note and every rhythm comes alive.

You can work across different devices smoothly and seamlessly and can also screencast or share apps, files, content, notifications, etc., across your Oppo PC, phone, and Oppo Pads.

With IR remote control, you can easily control the smart appliances in your home with your phone. You can also change the settings of devices, change the speed of the fan, turn off lights, ACs, etc., right from your phone and get the complete control of your environment in your hands with the IR remote control.

With the smart Always-on-Display feature, you can receive notifications in real-time and also get information about your orders and takeaways. You also get to seamlessly connect to the music playlist with the Always-On-Display functionality that ensures uninterrupted connectivity even when your device is locked.

With the Auto Pixelate feature available on this smartphone, you can now protect your privacy while still being able to stay social. You can easily pixelate avatars and names on a single click when you share screenshots from your phone.","OPPO Mobiles India Private Limited Plot No.1, Sector Ecotech: VII, Greater Noida, Uttar Pradesh 201306"
"Infinix Smart 7 HD (Green Apple, 64 GB)",https://www.flipkart.com/infinix-smart-7-hd-green-apple-64-gb/p/itmae6d492c1083e?pid=MOBGZNM9FZAVPXAA&lid=LSTMOBGZNM9FZAVPXAATCK5H1&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGZNM9FZAVPXAA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹6,199",4.3,630,"The Infinix SMART 7 HD is a feature-rich smartphone. You can save a lot of your favourite material and operate programmes smoothly thanks to the 64 GB internal storage and up to 4 GB of RAM. This gadget features a gorgeous wave pattern design that looks and feels sophisticated. For security, this phone has a simple face unlock function in addition to a quick and accurate fingerprint scanner.",MOBGZNM9FZAVPXAA,"The Infinix SMART 7 HD has 64 GB of internal storage and up to 4 GB of RAM (2 GB RAM + 2 GB Virtual RAM). In order to accommodate possibly all of your multitasking demands, this phone is engineered to allow you to store anything you need and run programmes any way you choose.

When you go around with this smartphone, everyone starts to stare at the superior Wave pattern Design with the anti-bacterial coating on the rear. It elevates your sense of style by having a high-end appearance and a wonderful feel in the hands.

Choose from a reliable and fast fingerprint scanner and a convenient and quick face unlock feature on the SMART 7 HD. This makes unlocking and using the phone a breeze, no matter the condition.

This smartphone's 16.76 cm (6.6) HD+ Display, which is vivid and large, makes entertainment appear to be occurring in front of you. The display is moreover bright enough to be clearly seen even in direct sunlight.

The smart AI Camera is equipped with an 8 MP Dual AI Camera and dual LED flash to handle all of your photography demands. It is capable of identifying scene and lighting circumstances to provide you with the optimum results each time you snap a picture.

This smartphone has a 5 MP Selfie Camera with LED Flash so you can step up your social media game. Selfies therefore always turn out clear and crisp, regardless of the hour.

Thanks to the powerful 5000 mAh battery equipped with this phone, you can seamlessly stay ahead of the curve without any hassle. Also, the Power Marathon Technology of this phone helps to extend your battery capability by up to 25%, helping you to accomplish whatever you are doing without any interruptions.

This phone's powerful octa-core CPU keeps up with your hectic schedule and aids in finishing difficult chores. Regardless of whether you are browsing, streaming, or switching between apps, enabling you to multitask with ease.

With this phone's triple card slots, which can accommodate two 4G SIM cards and a microSD card with up to 1 TB of storage, you can store all of your entertainment needs and effortlessly remain in touch with your friends.

With the amazing XOS 12, which runs on the Infinix SMART 7HD and is based on Android 12GO, features keep coming to mesmerise you with their impeccable capabilities. Make use of a tonne of great extras, like Video Assistant, Game Mode, Social Turbo, Eye Care, AI Gallery, OTG Support, and more.","G-Mobile Devices Private Ltd, Unit No. B303, 3rd Floor, Tower B, Plot No.7, Sec-142, Noida, Uttar Pradesh-201301"
"Infinix SMART 7 (Azure Blue, 64 GB)",https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMSRLXTO&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMTW2WYG2A2FM.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400","You can take advantage of a wide range of outstanding features that complement your lifestyle with the amazing Infinix SMART 7 phone. You can show off your flair everywhere you go with this phone, which has a sizable 6000 mAh battery, up to 7 GB of RAM, and a 16.76 cm (6.6) HD+ Display that makes every image come to life. Also, you can enhance your online appearance with the SMART 7's 13 MP Dual Camera, which is crisp and clear. The powerful Dual Flash provides you with the optimal lighting to spotlight your subject while it is dark outside.",MOBGMTW2WYG2A2FM,"With the amazing 6000 mAh battery on the Infinix SMART 7 smartphone, get through your day and stay productive. Leveraging it, a single charge allows you to enjoy up to 10 movies or listen to over 1200 songs. Also, the Type-C charging capability allows you to quickly recharge your phone.

This phone's capability for up to 7 GB of RAM and 64 GB of internal storage makes multitasking a pleasure. Thus you can store whatever you need and run quite as many apps as you like without experiencing any hassles.

Your favourite content comes to life on this phone's large, colourful 16.76 cm (6.6) HD+ Display. You can enjoy content while on the go because the display is vibrant enough to be completely viewable outside.

As you go around with this phone, people can notice this phone's stunning and high-end Wave Pattern design on the rear. It also feels wonderful in the hands and has a remarkable appearance, exhibiting your true persona.

With SMART 7's crystal-clear, sharp 13 MP Dual Camera, you can improve your online presence. When it's dark out, the powerful Dual Flash gives you the ideal lighting to illuminate your subject.

With the clear and adaptable 5 MP selfie camera on this phone, you can click mesmerising selfies. With a powerful LED Flash that makes your face stand out in any light, low-light selfies are indeed made simple.

Powered by the potent UNISOC Octa-Core processor, this phone keeps up with you whether you're playing a demanding game or running numerous apps simultaneously.

This phone has a dependable and rapid fingerprint scanner as well as an easy and efficient face unlock function that makes using and unlocking this phone simple in any situation.

With the help of this phone's Triple Card Slot, which accommodates two 4G SIM cards as well as a microSD card, you can stay connected and amused wherever you are.

You can get a tonne of fun enhancements like Video Assistant, Gaming Mode, Social Turbo, Eye Care, AI Gallery, OTG Support, and more with the impeccable XOS 12, which is based on Android 12, on this phone that drives you to experience the pinnacle of entertainment.","G-Mobile Devices Private Ltd, Unit No. B303, 3rd Floor, Tower B, Plot No.7, Sec-142, Noida, Uttar Pradesh-201301"
"POCO C55 (Cool Blue, 64 GB)",https://www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE7OFBLA7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMXSW55C7ZJE7.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹8,499",4.2,"2,027",The POCO C55 smartphone features a powerful MediaTek Helio G85 processor with 1 GHz of GPU enabling you with a smooth and hassle-free gaming experience or multitasking. This smartphone’s leather-like texture with stitches on the panel gives it a classy look. The 50 MP dual camera featured in this smartphone has a night mode and HDR mode so you can capture life-like images. You can also enjoy long-lasting battery life with the 5000 mAh battery.,MOBGMXSW55C7ZJE7,"The POCO C55 smartphone features a MediaTek Helio G85 octa-core processor with an AnTaTu score of more than 260K. The 1 GHz of GPU allows you to efficiently multitask on different apps, play games, and much more.

The POCO C55 smartphone has a stylish leather-like texture with stitches on the panel and curved edges to fit in your hands easily. It is also fingerprint and smudge resistant so you can enjoy your games and watch movies without worrying about fingerprints getting in the way. The fingerprint scanner featured in this smartphone gives it a bold look and adds security.

Capture life-like images with the POCO C55 smartphone’s 50 MP dual camera. This camera allows you to take wider shots, thanks to the sensor with an aperture of up to F 1.8. Its night mode enables you to capture images even in low-light conditions and the HDR mode enhances the photos' details, colour, and contrast, making them more attractive.

POCO C55 smartphone’s screen is about 17. 04 cm (6.71) big with an HD+ display so that you can watch your favourite movies and shows on your phone. The display featured in this smartphone allows you to view the screen even in direct sunlight. 120 Hz touch sampling rate enables the phone to register your touch and deliver commands more accurately.

The 5000 mAh battery featured in this smartphone has a long-lasting battery with about 28 days of standby time, up to 39 hours of talk time, about 27 hours of binge-watching, or up to 10.5 hours of gaming time on a single charge, so you can play, work, or do anything with your phone without worrying about draining the battery.

This smartphone is IP52-rated which makes it resistant to dust and water splashes and the oleophobic coating keeps your phone fingerprint and smudge-free, so you need not worry about cleaning the screen every time.

The POCO C55 smartphone has an in-built MIUI dialer making it more user-friendly and its dual-band WiFi support enables you with fast connectivity so you always stay connected.","Xiaomi Technology India Pvt. Ltd., Orchid Blck, EmbassyTech Village, Devarabeesanahalli,Bangalore - 560103, Karnataka"
"POCO C50 (Country Green, 32 GB)",https://www.flipkart.com/poco-c50-country-green-32-gb/p/itm0b3d5144d9c22?pid=MOBGK8WZYEJ3G5AA&lid=LSTMOBGK8WZYEJ3G5AAMF47BF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGK8WZYEJ3G5AA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹5,499",4.2,"2,039","Treat yourself to the POCO C50, which has a plethora of innovative capabilities, and take advantage of a seamless smartphone experience. With its 16.56 cm (6.52) broad display and 120 Hz touch sampling rate, this smartphone makes it simple to enjoy content and elevate your visual experience. Additionally, The POCO C50 enhances the experience in terms of shooting great photographs with an 8 MP main camera with a depth sensor. You can also capture captivating selfies with this phone's 5 MP front camera to increase your social media profile. Moreover, the C50 is designed to be safe and has a fingerprint sensor on the back and this phone's rear panel boasts a leather-like texture that gives off an opulent impression, enhancing its allure and elegance.",MOBGK8WZYEJ3G5AA,"The POCO C50 smartphone's 16.56 cm (6.52) wide display and 120 Hz touch sampling rate make it easy to enjoy content and take your visual experience to a great height.

The POCO C50 has an 8 MP primary camera with a depth sensor, upping the scale in terms of taking stunning pictures. Additionally, this phone's 5 MP front camera allows you to take eye-catching selfies and boost your social media presence.

A 5000 mAh battery and 10 W charging capabilities on the POCO C50 ensure that you won't run out of power even after spending several hours using the device for activities like work, entertainment, and gaming.

With a fingerprint sensor on the rear of the phone, the C50 is made to be secure. The rear panel of the phone has a leather-like texture that emits a luxurious appearance, which enhances its attractiveness and elegance.

The POCO C50 has a sleek appearance and runs on the fast, light, and streamlined Android 12 Go, which makes using a smartphone pleasant and smooth.","Xiaomi Technology India Pvt. Ltd., Orchid Blck, EmbassyTech Village, Devarabeesanahalli,Bangalore - 560103, Karnataka"
"POCO C50 (Royal Blue, 32 GB)",https://www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹5,499",4.2,"2,039","Treat yourself to the POCO C50, which has a plethora of innovative capabilities, and take advantage of a seamless smartphone experience. With its 16.56 cm (6.52) broad display and 120 Hz touch sampling rate, this smartphone makes it simple to enjoy content and elevate your visual experience. Additionally, The POCO C50 enhances the experience in terms of shooting great photographs with an 8 MP main camera with a depth sensor. You can also capture captivating selfies with this phone's 5 MP front camera to increase your social media profile. Moreover, the C50 is designed to be safe and has a fingerprint sensor on the back and this phone's rear panel boasts a leather-like texture that gives off an opulent impression, enhancing its allure and elegance.",MOBGK8WZUTGDEZFA,"The POCO C50 smartphone's 16.56 cm (6.52) wide display and 120 Hz touch sampling rate make it easy to enjoy content and take your visual experience to a great height.

The POCO C50 has an 8 MP primary camera with a depth sensor, upping the scale in terms of taking stunning pictures. Additionally, this phone's 5 MP front camera allows you to take eye-catching selfies and boost your social media presence.

A 5000 mAh battery and 10 W charging capabilities on the POCO C50 ensure that you won't run out of power even after spending several hours using the device for activities like work, entertainment, and gaming.

With a fingerprint sensor on the rear of the phone, the C50 is made to be secure. The rear panel of the phone has a leather-like texture that emits a luxurious appearance, which enhances its attractiveness and elegance.

The POCO C50 has a sleek appearance and runs on the fast, light, and streamlined Android 12 Go, which makes using a smartphone pleasant and smooth.","Xiaomi Technology India Pvt. Ltd., Orchid Blck, EmbassyTech Village, Devarabeesanahalli,Bangalore - 560103, Karnataka"
"Infinix SMART 7 (Emerald Green, 64 GB)",https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMTW2HFCMQY35.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹7,299",4.3,"2,400","You can take advantage of a wide range of outstanding features that complement your lifestyle with the amazing Infinix SMART 7 phone. You can show off your flair everywhere you go with this phone, which has a sizable 6000 mAh battery, up to 7 GB of RAM, and a 16.76 cm (6.6) HD+ Display that makes every image come to life. Also, you can enhance your online appearance with the SMART 7's 13 MP Dual Camera, which is crisp and clear. The powerful Dual Flash provides you with the optimal lighting to spotlight your subject while it is dark outside.",MOBGMTW2HFCMQY35,"With the amazing 6000 mAh battery on the Infinix SMART 7 smartphone, get through your day and stay productive. Leveraging it, a single charge allows you to enjoy up to 10 movies or listen to over 1200 songs. Also, the Type-C charging capability allows you to quickly recharge your phone.

This phone's capability for up to 7 GB of RAM and 64 GB of internal storage makes multitasking a pleasure. Thus you can store whatever you need and run quite as many apps as you like without experiencing any hassles.

Your favourite content comes to life on this phone's large, colourful 16.76 cm (6.6) HD+ Display. You can enjoy content while on the go because the display is vibrant enough to be completely viewable outside.

As you go around with this phone, people can notice this phone's stunning and high-end Wave Pattern design on the rear. It also feels wonderful in the hands and has a remarkable appearance, exhibiting your true persona.

With SMART 7's crystal-clear, sharp 13 MP Dual Camera, you can improve your online presence. When it's dark out, the powerful Dual Flash gives you the ideal lighting to illuminate your subject.

With the clear and adaptable 5 MP selfie camera on this phone, you can click mesmerising selfies. With a powerful LED Flash that makes your face stand out in any light, low-light selfies are indeed made simple.

Powered by the potent UNISOC Octa-Core processor, this phone keeps up with you whether you're playing a demanding game or running numerous apps simultaneously.

This phone has a dependable and rapid fingerprint scanner as well as an easy and efficient face unlock function that makes using and unlocking this phone simple in any situation.

With the help of this phone's Triple Card Slot, which accommodates two 4G SIM cards as well as a microSD card, you can stay connected and amused wherever you are.

You can get a tonne of fun enhancements like Video Assistant, Gaming Mode, Social Turbo, Eye Care, AI Gallery, OTG Support, and more with the impeccable XOS 12, which is based on Android 12, on this phone that drives you to experience the pinnacle of entertainment.","G-Mobile Devices Private Ltd, Unit No. B303, 3rd Floor, Tower B, Plot No.7, Sec-142, Noida, Uttar Pradesh-201301"
"POCO C51 (Royal Blue, 64 GB)",https://www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹7,499",4.2,"1,231", ,MOBGZCQFCWNDK89P,"The MediaTek Helio G36 octa-core CPU in the POCO C51 clocked at up to 2.2 GHz, is capable of providing all the power required for fluid internet browsing and multimedia operations.

The POCO C51 has a remarkable Turbo RAM feature that gives you access to up to 7 GB of RAM anytime you need it, allowing you to play graphically intensive games and consume high-quality content with ease.

This phone's huge screen, 16.56 cm (6.52) HD+ display is suitable for all of your browsing and entertainment-consuming needs. The gadget is strong and reliable owing to its scratch-resistant build, amazing 120 Hz Touch Sampling rate, and other features.

With an 8 MP dual camera and a 5 MP selfie camera built into the POCO C51 smartphone, you can capture the mesmerising moments in your daily life with crystal-clear imagery.

The POCO C51 has a 5000 mAh battery capable of carrying you through your everyday activities with the phone. Moreover, this phone includes a 10 W charger in the package which supports quick charging and keeps you on your toes.

The POCO C51 is stunning in terms of design, including a rear pattern that looks and feels like leather. Also, it has a fingerprint sensor on the rear to ensure your security and privacy.

Also, the phone has a top-firing speaker that is sure to raise your degree of amusement when using it. You can then cherish your favourite music the way it was intended to be experienced.

While the POCO C51 contains the MIUI dialer and runs the Android 13 Go edition, you can expect streamlined performance. Also, it has two years of security updates, facilitating a seamless user interface.",Manufacturer Addresss Sample test one
"MOTOROLA g42 (Atlantic Green, 64 GB)",https://www.flipkart.com/motorola-g42-atlantic-green-64-gb/p/itmcd4986b7d00b5?pid=MOBGBUPWDZHQYXNB&lid=LSTMOBGBUPWDZHQYXNB41TBQE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGBUPWDZHQYXNB.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹9,999",4.2,817,"Make your visual entertainment extremely appealing and exciting as you bring home the feature-packed Motorola g42 smartphone. This phone comes with a stunning 50 MP Quad Camera set up, so that you can make your photos appear impressive while bringing out sharp detail in every setting. Also, it runs on a powerful Snapdragon TM 680 2.0 GHz octa-core processor that is set to amaze you with its impeccable capabilities and exceptional performance. Moreover, with the My UX feature on your phone, you can seamlessly control your device using gestures, customise entertainment, and do more to make your phone browsing experience an engaging one.",MOBGBUPWDZHQYXNB,"Featuring a lightweight body of just 174.5 gms and a PMMA Acrylic Glass finish body, the Motorola g42 smartphone is sure to catch the attention of the onlookers wherever you go. Moreover, its renewed camera module and slim design offer a stunning appeal to the phone, while making it a delight to use this phone.

Witness your favourite characters from movies and games come to reality with the fascinating 16.25 cm (6.4) AMOLED FHD+ display that renders crystal clear and vibrant details. With the DCI-P3 colour gamut, you can experience vivid colours and precise imagery every time you stream a video. Moreover, it comes with SGS-certified low blue light protection so that your eyes remain shielded from straining even when you watch your mobile at night.

Sporting Dolby Atmos acoustics, the smartphone keeps you engrossed in a multidimensional sound, thus enriching your entertainment experience. Also, this phone features two powerful speakers to ensure an improved bass, sharp vocals and clarity at high volumes.

Equipped with a 50 MP Quad Function Camera set up, this mobile allows you to capture clear shots even under dimming light conditions. And, with the 8 MP Ultra-wide sensor you can add more clarity and perspective in every frame as it automatically blurs the background, thus keeping the focus on the subject. Also, it has a 4X low light sensitivity and a dedicated macro vision camera that lets you efficiently capture minute details of your subject. Moreover, the 16 MP front camera lets you capture high-grade selfies and group pictures everytime you go out with your friends or family.

Boasting a powerful 5000 mAh battery, this smartphone lets you play games, watch your favourite TV series, and do whatever you love without frequently charging your phone. And, the fast 20W TurboPower charger offers you impressive battery life in just a few minutes of charging. As a result, you can stay connected to your phone throughout the day and leave your worries about the power behind.

You don't have to worry about accidental spills or splashes whenever you’re going for a run, or receiving a call in the rain, as this mobile comes with an IP52 water-repellent design. Thus, your phone remains protected and dry from inside as well as outside.

Thanks to the incorporated Near-stock Android 12 OS and Android 13 upgrades along with 3 years of extended security updates, you can get bloatware and add-free user experience with My UX. This feature gives you the complete power to control your phone using simple gestures, easily manage your entertainment settings and create a stunning look that reflects your real taste.

This smartphone comes with massive storage of up to 64 GB and supports an expandable storage capacity of up to 1 TB using a microSD card so that you can effortlessly store all your favourite images, videos, and more on this smartphone without deleting your cherished memories.

Powered by a Snapdragon 680 2.0 GHz octa-core processor and 6 GB of RAM, this smartphone keeps you engrossed in your favourite TV shows, advanced photography features and intense gaming sessions throughout the day.","Motorola India Pvt Ltd 12th floor, Tower-D DLF phase-3, Cyber Greens, Gurgaon-122001"
"POCO C55 (Power Black, 64 GB)",https://www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_2_na_na_ps&fm=organic&iid=8b9afe18-58a5-41c7-9af9-3f0f1dfe2e77.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=skwah0vk680000001690221376448&qH=532c28d5412dd75b,"₹8,499",4.2,"2,027",The POCO C55 smartphone features a powerful MediaTek Helio G85 processor with 1 GHz of GPU enabling you with a smooth and hassle-free gaming experience or multitasking. This smartphone’s leather-like texture with stitches on the panel gives it a classy look. The 50 MP dual camera featured in this smartphone has a night mode and HDR mode so you can capture life-like images. You can also enjoy long-lasting battery life with the 5000 mAh battery.,MOBGMXSW9PHJVQCA,"The POCO C55 smartphone features a MediaTek Helio G85 octa-core processor with an AnTaTu score of more than 260K. The 1 GHz of GPU allows you to efficiently multitask on different apps, play games, and much more.

The POCO C55 smartphone has a stylish leather-like texture with stitches on the panel and curved edges to fit in your hands easily. It is also fingerprint and smudge resistant so you can enjoy your games and watch movies without worrying about fingerprints getting in the way. The fingerprint scanner featured in this smartphone gives it a bold look and adds security.

Capture life-like images with the POCO C55 smartphone’s 50 MP dual camera. This camera allows you to take wider shots, thanks to the sensor with an aperture of up to F 1.8. Its night mode enables you to capture images even in low-light conditions and the HDR mode enhances the photos' details, colour, and contrast, making them more attractive.

POCO C55 smartphone’s screen is about 17. 04 cm (6.71) big with an HD+ display so that you can watch your favourite movies and shows on your phone. The display featured in this smartphone allows you to view the screen even in direct sunlight. 120 Hz touch sampling rate enables the phone to register your touch and deliver commands more accurately.

The 5000 mAh battery featured in this smartphone has a long-lasting battery with about 28 days of standby time, up to 39 hours of talk time, about 27 hours of binge-watching, or up to 10.5 hours of gaming time on a single charge, so you can play, work, or do anything with your phone without worrying about draining the battery.

This smartphone is IP52-rated which makes it resistant to dust and water splashes and the oleophobic coating keeps your phone fingerprint and smudge-free, so you need not worry about cleaning the screen every time.

The POCO C55 smartphone has an in-built MIUI dialer making it more user-friendly and its dual-band WiFi support enables you with fast connectivity so you always stay connected.","Xiaomi Technology India Pvt. Ltd., Orchid Blck, EmbassyTech Village, Devarabeesanahalli,Bangalore - 560103, Karnataka"
